document_id,query_id,round,user,position,Okapi,LM,TF,NormTF,LEN,FracStop,StopCover,ENT,BERT
ROUND-01-009_009_0_T-5I47JG,9,1,5I47JG,3,10.727922,-14.501403,25,8.7000675,148,0.344594595,0.162011173,4.099354376,0.998109818
ROUND-01-009_009_0_T-ALTS1G,9,1,ALTS1G,1,10.663068,-14.710222,23,8.861775,145,0.351724138,0.167597765,4.069815899,0.999398589
ROUND-01-009_009_1_T-0S4RPX,9,1,0S4RPX,2,10.667839,-14.714974,23,8.923211,148,0.344594595,0.156424581,4.097099571,0.998542428
ROUND-01-009_009_0_T-NVDYIJ,9,1,NVDYIJ,2,10.785744,-14.3091755,27,8.539666,150,0.326666667,0.162011173,4.090342399,0.998963714
ROUND-01-009_009_1_T-AWG80T,9,1,AWG80T,4,10.535155,-15.123303,19,8.627333,111,0.378378378,0.145251397,3.839758694,0.998060882
ROUND-01-009_009_0_T-CXI2X2,9,1,CXI2X2,4,10.64164,-14.851175,22,9.125734,149,0.348993289,0.162011173,4.140477733,0.998149753
ROUND-01-009_009_1_T-DG0YZT,9,1,DG0YZT,1,9.785672,-16.739069,11,11.367301,146,0.506849315,0.189944134,4.075906538,0.996953964
ROUND-01-009_009_1_T-PVFT27,9,1,PVFT27,3,10.64164,-14.851175,22,9.125734,149,0.355704698,0.162011173,4.138321923,0.998316288
ROUND-02-009_009_0_T-5I47JG,9,2,5I47JG,2,9.782486,-16.746914,11,11.42832,149,0.510067114,0.189944134,4.057925002,0.995468855
ROUND-02-009_009_0_T-CXI2X2,9,2,CXI2X2,4,10.64164,-14.851175,22,9.125734,149,0.348993289,0.162011173,4.140477733,0.998149753
ROUND-02-009_009_1_T-0S4RPX,9,2,0S4RPX,4,10.406511,-15.53403,17,9.9278755,151,0.350993377,0.167597765,4.22924716,0.996016443
ROUND-02-009_009_1_T-PVFT27,9,2,PVFT27,3,9.783547,-16.7443,11,11.408118,148,0.52027027,0.184357542,4.061895124,0.996967733
ROUND-02-009_009_1_T-DG0YZT,9,2,DG0YZT,1,9.785672,-16.739069,11,11.367301,146,0.506849315,0.189944134,4.075906538,0.996953964
ROUND-02-009_009_0_T-ALTS1G,9,2,ALTS1G,1,10.702627,-14.594647,24,8.743992,145,0.351724138,0.167597765,4.042032812,0.999407053
ROUND-02-009_009_0_T-NVDYIJ,9,2,NVDYIJ,3,10.606089,-14.982083,22,9.473219,152,0.315789474,0.117318436,4.04892276,0.998975635
ROUND-02-009_009_1_T-AWG80T,9,2,AWG80T,2,10.477961,-15.149314,20,9.3160305,146,0.47260274,0.167597765,3.879456998,0.99383682
